id,brand,fdacode,zipcode,street,country,tzone
77,SHISEIDO AMERICAS CORPORATION,58411-192,,30 Talisman Crossing,Ukraine,Europe/Zaporozhye
78,"Cephalon, Inc.",63459-701,23-210,34101 Golden Leaf Junction,Poland,Europe/Warsaw
79,Fresenius Medical Care North America,49230-209,69265 CEDEX 09,10863 Banding Place,France,Europe/Paris
80,General Air Service & Supply Co,21220-122,9847,9014 Delladonna Plaza,New Zealand,Pacific/Auckland
81,Cardinal Health,55154-1954,21480,9 Anniversary Hill,Croatia,Europe/Zagreb
82,"H and P Industries, Inc. dba Triad Group",50730-1450,,71 Bellgrove Pass,China,Asia/Shanghai
83,Topco Associates LLC,36800-660,,5 Monument Street,China,Asia/Harbin
84,Reckitt Benckiser LLC,63824-528,2530-631,32204 Messerschmidt Parkway,Portugal,Europe/Lisbon
85,"Akorn, Inc.",17478-063,10020,01451 Monterey Court,Croatia,Europe/Zagreb
86,"Akorn, Inc.",17478-215,,07394 Heffernan Drive,China,Asia/Chongqing
87,"Physicians Total Care, Inc.",54868-0922,,0 Reindahl Plaza,China,Asia/Shanghai
88,REMEDYREPACK INC.,49349-263,,5 3rd Alley,China,Asia/Harbin
89,"PD-Rx Pharmaceuticals, Inc.",43063-507,899-3221,60713 Oneill Drive,Japan,Asia/Tokyo
90,American Health Packaging,68084-577,05-074,491 Londonderry Junction,Poland,Europe/Warsaw
91,Shasun Pharmaceuticals Limited,57910-404,34-221,4 Sunfield Pass,Poland,Europe/Warsaw
92,"Allergy Laboratories, Inc.",54575-454,,46 Milwaukee Hill,China,Asia/Chongqing
93,"Ascend Laboratories, LLC",67877-147,30001,99 Fieldstone Terrace,Lithuania,Europe/Vilnius
94,Apotheca Company,57520-0272,752-0923,1 Grasskamp Place,Japan,Asia/Tokyo
95,"Aphena Pharma Solutions - Tennessee, LLC",67544-302,4800-005,5 Merrick Plaza,Portugal,Europe/Lisbon
96,JAFRA COSMETICS INTERNATIONAL,68828-047,42-283,52 Menomonie Pass,Poland,Europe/Warsaw
97,Unifirst First Aid Corporation,47682-099,R95,3 Lyons Point,Ireland,Europe/Dublin
98,"PD-Rx Pharmaceuticals, Inc.",55289-934,259-0318,84201 Toban Plaza,Japan,Asia/Tokyo
99,Forces of Nature,51393-7111,,90 Karstens Drive,China,Asia/Shanghai
100,"Exelan Pharmaceuticals, Inc.",76282-274,761517,92018 Kensington Place,Colombia,America/Bogota
101,Organon USA Inc.,0052-4330,,2 Kinsman Center,China,Asia/Chongqing
102,REMEDYREPACK INC.,52125-358,,7844 Westport Junction,China,Asia/Shanghai
103,Mylan Pharmaceuticals Inc.,0378-3628,,452 Lake View Park,China,Asia/Shanghai
104,REMEDYREPACK INC.,24236-776,,74120 Aberg Lane,China,Asia/Chongqing
105,"Genuine First Aid, LLC",52124-2901,73-121,9110 Ramsey Pass,Poland,Europe/Warsaw
106,AMWAY CORP.,50390-705,6270-405,6657 Fair Oaks Place,Portugal,Europe/Lisbon
107,"Blenheim Pharmacal, Inc.",10544-377,3105-222,4089 Shelley Place,Portugal,Europe/Lisbon
108,Apotheca Company,57520-0210,,10 Amoth Parkway,China,Asia/Shanghai
109,"ALK-Abello, Inc.",0268-0654,,55 Randy Junction,China,Asia/Shanghai
110,"E.R. Squibb & Sons, L.L.C.",0003-0855,2246,920 Utah Street,New Zealand,Pacific/Auckland
111,LUPIN PHARMA,27437-109,869-1203,2918 Comanche Avenue,Japan,Asia/Tokyo
112,Perrigo New York Inc,45802-133,,42464 Bayside Junction,China,Asia/Chongqing
113,Rebel Distributors Corp,42254-131,,485 Dennis Hill,China,Asia/Chongqing
114,American Health Packaging,68084-077,,92 Mayfield Trail,China,Asia/Urumqi
115,"Custom Solutions, Inc.",76405-010,95445 CEDEX,4 Elka Junction,France,Europe/Paris
116,Procter & Gamble Manufacturing Co.,37000-088,,8928 Monterey Place,China,Asia/Shanghai
117,"Rising Pharmaceuticals, Inc",64980-506,37942 CEDEX 9,20 Dayton Plaza,France,Europe/Paris
118,Superior Chemical Corporation,53125-773,392 01,491 Briar Crest Way,Czech Republic,Europe/Prague
119,"ALK-Abello, Inc.",0268-1151,,90008 Sullivan Trail,China,Asia/Shanghai
120,Sagent Pharmaceuticals,25021-140,,862 Fordem Trail,China,Asia/Chongqing
121,State of Florida DOH Central Pharmacy,53808-0874,,5544 Jenna Circle,China,Asia/Chongqing
122,State of Florida DOH Central Pharmacy,53808-0398,8304,82 Tennyson Parkway,Netherlands,Europe/Amsterdam
123,"Dolgencorp, LLC",55910-479,273 06,4248 Calypso Drive,Czech Republic,Europe/Prague
124,Vi-Jon,0869-0602,85708 CEDEX,0550 Shopko Avenue,France,Europe/Paris
125,"ProPhase Labs, Inc.",61941-0091,,3344 Crownhardt Crossing,China,Asia/Shanghai
126,"Nelco Laboratories, Inc.",36987-2045,L4P,7 Starling Trail,Canada,America/Toronto
127,"Dharma Research, inc.",53045-235,,3161 Parkside Point,China,Asia/Shanghai
128,"Energique, Inc.",44911-0006,GDJ,72 Clemons Drive,Malta,Europe/Malta
129,Procter & Gamble Manufacturing Company,37000-141,963-8846,959 Clarendon Way,Japan,Asia/Tokyo
130,Conopco Inc. d/b/a Unilever,64942-0810,87090 CEDEX 9,4321 Grim Avenue,France,Europe/Paris
131,"NCS HealthCare of KY, Inc dba Vangard Labs",0615-7560,61-731,5762 Center Lane,Poland,Europe/Warsaw
132,"BioActive Nutritional, Inc.",43857-0046,,4 Roxbury Park,China,Asia/Shanghai
133,"The Hain Celestial Group, Inc.",61995-1107,36-040,51030 Red Cloud Street,Poland,Europe/Warsaw
134,Hannaford Brothers Company,41268-271,32-864,51759 Orin Way,Poland,Europe/Warsaw
135,REMEDYREPACK INC.,52125-648,74704 CEDEX,79475 Melvin Drive,France,Europe/Paris
136,Aidarex Pharmaceuticals LLC,33261-861,9625-325,1112 Golf View Pass,Portugal,Africa/Accra
137,Oral BioTech,61578-305,,8304 Sloan Drive,Israel,Asia/Jerusalem
138,Bayer HealthCare Pharmaceuticals Inc.,50419-253,3297,60 Browning Way,New Zealand,Pacific/Auckland
139,"Eon Labs, Inc.",0185-1047,4808,37 Meadow Vale Junction,Norway,Europe/Oslo
140,Sanum-Kehlbeck GmbH & Co. KG,60681-2402,62-590,5 Dakota Street,Poland,Europe/Warsaw
141,"Nelco Laboratories, Inc.",36987-1099,,1611 Dwight Court,China,Asia/Chongqing
142,MEIJER,41250-167,463 42,23454 Kenwood Trail,Czech Republic,Europe/Prague
143,"Paddock Laboratories, LLC",0574-0120,664 56,8 Eliot Pass,Czech Republic,Europe/Prague
144,Rebel Distributors Corp,21695-677,2710-106,61131 South Way,Portugal,Europe/Lisbon
145,Citron Pharma LLC,57237-017,,4 Delaware Street,China,Asia/Chongqing
146,McKesson,62011-0139,29327 CEDEX,21 Forest Place,France,Europe/Paris
147,STAT RX USA LLC,16590-981,,6 Golf Course Way,China,Asia/Shanghai
148,REMEDYREPACK INC.,52125-865,,04673 Northridge Hill,China,Asia/Chongqing
149,Parfums Christian Dior,61957-0022,32-043,7075 Bartelt Terrace,Poland,Europe/Warsaw
150,"Hi-Tech Pharmacal Co., Inc.",50383-823,,91 Banding Hill,China,Asia/Chongqing
151,"Elizabeth Arden, Inc",67938-1172,,03 Crest Line Alley,China,Asia/Shanghai
152,CARDINAL HEALTH,49781-096,,00510 Stang Alley,China,Asia/Shanghai
153,Target Corporation,11673-963,,40094 Stephen Place,China,Asia/Shanghai
154,Uriel Pharmacy Inc.,48951-6013,L2G,3109 Sunnyside Drive,Canada,America/Winnipeg
155,Kosan Kozmetik Sanayi ve Ticaret A.S.,61722-181,338 45,2 Carey Park,Czech Republic,Europe/Prague
156,RedPharm Drug Inc.,67296-0574,30760,75 Miller Junction,Malaysia,Asia/Kuala_Lumpur
157,"Nelco Laboratories, Inc.",36987-2716,79004 CEDEX,0215 Green Ridge Court,France,Europe/Paris
158,Richmond Division of Wyeth,0031-8698,,96890 Northwestern Road,China,Asia/Chongqing
159,McNeil Consumer Pharmaceuticals Co.,16837-854,,51238 Tomscot Place,China,Asia/Chongqing
160,Pfizer Laboratories Div Pfizer Inc,0069-3130,,0 Hovde Junction,China,Asia/Chongqing
161,"Physicians Total Care, Inc.",54868-3086,,5681 Mccormick Plaza,China,Asia/Harbin
162,TOPCO ASSOCIATES LLC,36800-240,13253 CEDEX 06,26 Warner Center,France,Europe/Paris
163,Wal-Mart Stores Inc,49035-104,,80 Anderson Parkway,China,Asia/Chongqing
164,"Amphastar Pharmaceuticals, Inc.",0548-5636,,39569 Schurz Hill,China,Asia/Chongqing
165,Pfizer Consumer Healthcare,0573-0188,32244,9 Shoshone Crossing,United States,America/New_York
166,"NCS HealthCare of KY, Inc dba Vangard Labs",0615-7705,,73 Kings Point,Ukraine,Europe/Zaporozhye
167,Cardinal Health,37205-326,,3014 Maryland Road,China,Asia/Chongqing
168,"Alva-Amco Pharmacal Companies, Inc.",52389-168,8045,37 Mariners Cove Court,Australia,Australia/Melbourne
169,Amerisource Bergen,24385-213,22-550,4865 Lyons Alley,Poland,Europe/Warsaw
170,Ventura Corporation LTD,13537-467,,3542 Mendota Hill,China,Asia/Shanghai
171,Suzhou Health and Beyond Hygienic Products Inc.,51073-801,278 01,767 Pine View Parkway,Czech Republic,Europe/Prague
172,Contract Pharmacy Services-PA,67046-228,1509,59701 Marcy Pass,Netherlands,Europe/Amsterdam
173,Cardinal Health,55154-0368,,95368 Dakota Avenue,China,Asia/Shanghai
174,Kroger Inc,30142-264,31407,60 Kingsford Crossing,Malaysia,Asia/Kuala_Lumpur
175,Energizer Personal Care LLC,63354-315,799-2441,8493 Dayton Trail,Japan,Asia/Tokyo
176,Supervalu Inc,41163-872,,05730 Sycamore Terrace,China,Asia/Shanghai
177,"Akorn, Inc.",17478-238,35213,08654 Dwight Center,Spain,Atlantic/Canary
178,AbbVie Inc.,0074-3007,,78213 6th Center,China,Asia/Harbin
179,The Procter & Gamble Manufacturing Company,37000-696,,28525 Gale Way,China,Asia/Harbin
180,"UCB, Inc.",0091-2491,06-456,2 Farwell Lane,Poland,Europe/Warsaw
181,"PD-Rx Pharmaceuticals, Inc.",55289-779,93702,24 Londonderry Trail,Malaysia,Asia/Kuching
182,Bedford Laboratories,55390-226,,7 Starling Lane,China,Asia/Shanghai
183,Zydus Pharmaceuticals (USA) Inc.,68382-131,J7X,26404 8th Alley,Canada,America/Montreal
184,Pfizer Laboratories Div Pfizer Inc,60793-801,,5 Orin Trail,China,Asia/Shanghai
185,"PD-Rx Pharmaceuticals, Inc.",55289-617,,9 Continental Park,China,Asia/Kashgar
186,REMEDYREPACK INC.,24236-558,68164,1919 1st Road,United States,America/Chicago
187,Washington Homeopathic Products,68428-739,,7 New Castle Plaza,China,Asia/Chongqing
188,"Apple Products, Inc.",67147-855,,00 Melvin Place,China,Asia/Shanghai
189,Merck Sharp & Dohme Corp.,0006-0080,,6 Bowman Parkway,China,Asia/Harbin
190,Carilion Materials Management,68151-4717,42-310,649 Dovetail Pass,Poland,Europe/Warsaw
191,State of Florida DOH Central Pharmacy,53808-0819,BS14,85999 Sutherland Circle,United Kingdom,Europe/London
192,"Antigen Laboratories, Inc.",49288-0708,2950-127,87466 Sherman Terrace,Portugal,Europe/Lisbon
193,Cardinal Health,55154-5440,84-100,79 Dixon Alley,Poland,Europe/Warsaw
194,International Pharmaceuticals Inc,58929-100,697-1201,6295 Fremont Court,Japan,Asia/Tokyo
195,"Native Remedies, LLC",68703-102,18-230,099 Karstens Court,Poland,Europe/Warsaw
196,AMERICAN SALES COMPANY,41520-474,,1407 Fisk Way,China,Asia/Shanghai
197,"InLight Creation, LLC",53405-0003,08030,414 Truax Pass,Spain,Europe/Madrid
198,Mallinckrodt Inc.,0019-9883,,39 Everett Lane,China,Asia/Chongqing
199,"Raw Health International, LLC",55413-2500,E6J,82 Dixon Junction,Canada,America/Toronto
200,"GRIFOLS USA, LLC",61953-0004,47304 CEDEX,4 Summerview Center,France,Europe/Paris
201,McKesson Contract Packaging,76237-100,91117,778 Harper Junction,United States,America/Los_Angeles
202,7-Eleven,10202-384,2140-215,853 Maryland Hill,Portugal,Europe/Lisbon
203,Lake Erie Medical DBA Quality Care Products LLC,35356-007,25057 CEDEX,03962 Green Ridge Way,France,Europe/Paris
204,"Liddell Laboratories, Inc.",50845-0110,232008,77597 Sachtjen Hill,Colombia,America/Bogota
205,"Geiss, Destin & Dunn, Inc.",50804-667,27001,872 Dakota Alley,Lithuania,Europe/Vilnius
206,Energetix Corp,64578-0082,J7J,072 Melody Drive,Canada,America/Montreal
207,Major Pharmaceuticals,0904-1007,,2535 Meadow Ridge Alley,China,Asia/Shanghai
208,"Prestige Brands Holdings, Inc.",52183-279,,1079 Knutson Pass,China,Asia/Shanghai
209,State of Florida DOH Central Pharmacy,53808-0806,,489 Rutledge Alley,China,Asia/Shanghai
210,IVAX Pharmaceuticals Inc.,0172-3649,4905-266,6 Reindahl Park,Portugal,Europe/Lisbon
211,"Nelco Laboratories, Inc.",36987-2706,03005,9 Johnson Trail,Spain,Europe/Madrid
212,Walgreen Company,0363-0480,4805-223,64103 Ridgeview Alley,Portugal,Europe/Lisbon
213,"Crumpton Welding Supply & Equipment, Inc",52568-007,25200,54 Swallow Junction,Malaysia,Asia/Kuala_Lumpur
214,Major Pharmaceuticals,0904-6085,,99 Sunfield Crossing,China,Asia/Urumqi
215,H E B,37808-480,1101,503 Cordelia Trail,Norway,Europe/Oslo
216,"Roxane Laboratories, Inc",0054-3532,,24587 Oneill Point,China,Asia/Shanghai
217,Valeant Pharmaceuticals North America LLC,0187-1619,41-840,93 6th Alley,Poland,Europe/Warsaw
218,"BB17, LLC",53603-1003,,8 Tennessee Plaza,China,Asia/Chongqing
219,"Kareway Product, Inc.",67510-1562,,95459 Dixon Parkway,China,Asia/Chongqing
220,Cardinal Health,55154-0253,91324 CEDEX,52001 Village Alley,France,Europe/Paris
221,"General Injectables & Vaccines, Inc",52584-443,34504 CEDEX,47676 Springview Drive,France,Europe/Paris
222,"Oriental Home Sense Co., Ltd.",61238-1125,20551,4 Continental Parkway,Malaysia,Asia/Kuala_Lumpur
223,"CodaDose, Inc.",43378-100,73379 CEDEX,3 Sommers Place,France,Europe/Paris
224,"Arbor Pharmaceuticals, Inc.",24338-106,2334,781 Donald Avenue,Netherlands,Europe/Amsterdam
225,"Golden State Medical Supply, Inc.",60429-618,80995,685 Lakewood Point,Germany,Europe/Berlin
226,REMEDYREPACK INC.,49349-938,68134,19 Sherman Plaza,United States,America/Chicago
227,GlaxoSmithKline LLC,0173-0838,969-6244,8184 Browning Court,Japan,Asia/Tokyo
228,REMEDYREPACK INC.,49349-252,,5 West Lane,China,Asia/Chongqing
229,Cardinal Health,55154-1025,276 01,066 Karstens Terrace,Czech Republic,Europe/Prague
230,Mylan Institutional Inc.,51079-196,,518 Cambridge Plaza,Israel,Asia/Jerusalem
231,Pfizer Consumer Healthcare,0573-0225,37-754,190 Veith Plaza,Poland,Europe/Warsaw
232,Perrigo Company,0574-4005,,490 Butternut Parkway,China,Asia/Harbin
233,Mylan Pharmaceuticals Inc.,0378-6044,,3640 Menomonie Place,China,Asia/Harbin
234,Contract Pharmacal Corp,10267-1122,75778 CEDEX 16,7081 Service Avenue,France,Europe/Paris
235,Colgate-Palmolive Canada,51442-546,,50 Stoughton Lane,China,Asia/Shanghai
236,CVS Pharmacy,59779-491,,25331 Pawling Road,China,Asia/Shanghai
237,AR Medicom Inc,64778-1443,687 65,327 Westridge Center,Czech Republic,Europe/Prague
238,PHARMADERM. A division of Nycomed US Inc.,0462-0277,21-205,971 Heath Pass,Poland,Europe/Warsaw
239,Valeant Pharmaceuticals North America LLC,0187-5268,735517,639 Nelson Court,Colombia,America/Bogota
240,Apotex Corp.,60505-0014,,38 Roth Point,China,Asia/Chongqing
241,Cardinal Health,55154-9439,2490-105,6 Delaware Alley,Portugal,Europe/Lisbon
242,American Health Packaging,68084-598,,753 Brickson Park Park,China,Asia/Chongqing
243,"Nature's Innovation, Inc.",10893-663,,52035 Surrey Park,China,Asia/Shanghai
244,Sandoz Inc,0781-1830,25508,9 Hanover Way,Malaysia,Asia/Kuala_Lumpur
245,"Physicians Total Care, Inc.",54868-5944,4580-604,53380 Toban Trail,Portugal,Europe/Lisbon
246,Macoven Pharmaceuticals,44183-400,,70 Shopko Road,China,Asia/Chongqing
247,"Nelco Laboratories, Inc.",36987-2287,A1Y,992 Commercial Center,Canada,America/St_Johns
248,"NATURE REPUBLIC CO., LTD.",51346-065,10450,17 Lerdahl Park,Croatia,Europe/Zagreb
249,Northstar RxLLC,16714-111,67137 CEDEX,2 Marquette Alley,France,Europe/Paris
250,Wise Consumer Products,42346-600,70826,14 Annamark Drive,United States,America/Chicago
251,"ALK-Abello, Inc.",0268-0943,67098 CEDEX 2,42 Schiller Pass,France,Europe/Paris
252,"Paddock Laboratoratories, LLC",0574-0016,,0695 Comanche Junction,China,Asia/Shanghai
253,AvPAK,50268-292,39-124,31895 Calypso Parkway,Poland,Europe/Warsaw
254,Kimberly-Clark Corporation,55118-425,,3921 Oak Valley Court,Ukraine,Europe/Uzhgorod
255,REMEDYREPACK INC.,49349-547,,6 Oriole Terrace,China,Asia/Shanghai
256,School Health Corporation,76123-120,478067,30742 Sommers Junction,Colombia,America/Bogota
257,Wal-Mart Stores Inc,49035-901,13503 CEDEX,4 Lake View Street,France,Europe/Paris
258,REMEDYREPACK INC.,52125-578,27-530,059 Mariners Cove Point,Poland,Europe/Warsaw
259,Mckesson,49348-083,,2427 Cardinal Junction,China,Asia/Harbin
260,"Aphena Pharma Solutions - Tennessee, LLC",67544-136,J7Z,0222 Hagan Drive,Canada,America/Montreal
261,Contract Pharmacy Services-PA,67046-919,,54 Burrows Pass,China,Asia/Shanghai
262,E. FOUGERA & CO. A division of Fougera Pharmaceuticals Inc.,0168-0312,894-2414,1038 Eggendart Point,Japan,Asia/Tokyo
263,McKesson,49348-044,,12371 Brentwood Court,China,Asia/Shanghai
264,"Energique, Inc.",44911-0019,K2J,780 Marcy Avenue,Canada,America/Regina
265,Mylan Pharmaceuticals Inc.,0378-9123,,44 Barnett Parkway,Georgia,Asia/Tbilisi
266,Genuine First Aid LLC,52124-0107,2565-035,26727 Melrose Crossing,Portugal,Europe/Lisbon
267,Sandoz Inc,0781-1655,,18620 High Crossing Way,China,Asia/Harbin
268,Aidarex Pharmaceuticals LLC,33261-517,891-0704,45 Dorton Crossing,Japan,Asia/Tokyo
269,"Onpoint, Inc",51143-124,,08 Sunnyside Road,China,Asia/Shanghai
270,Torrent Pharmaceuticals Limited,13668-140,T9C,56619 Canary Junction,Canada,America/Edmonton
271,Baxter Healthcare Corporation,0338-5002,4770-073,91670 Blue Bill Park Street,Portugal,Europe/Lisbon
272,Rebel Distributors Corp,21695-238,,219 Melvin Junction,China,Asia/Shanghai
273,Sanum Kehlbeck GmbH & Co. KG,60681-0115,704038,3587 Rieder Way,Colombia,America/Bogota
274,R. L. Williams Company,61159-001,,27386 Grayhawk Crossing,China,Asia/Chongqing
275,"Roberts Oxygen Company, Inc.",46123-040,,1765 Eggendart Drive,China,Asia/Chongqing
276,Aaron Industries Inc.,49580-0329,,97890 Stang Lane,China,Asia/Harbin
277,A-S Medication Solutions LLC,54569-5354,,8088 Village Green Park,Latvia,Europe/Riga
278,"ProPhase Labs, Inc.",61941-0092,92324 CEDEX,8 3rd Center,France,Europe/Paris
279,Tyco Healthcare Group LP,12823-401,37-224,602 Cordelia Park,Poland,Europe/Warsaw
280,Pfizer Laboratories Div Pfizer Inc,0069-3070,,79 Fisk Terrace,China,Asia/Chongqing
281,"Solbin Co., Ltd",42352-2001,,629 Anthes Alley,China,Asia/Chongqing
282,Rebel Distributors Corp,21695-924,4520-104,98932 Hudson Way,Portugal,Europe/Lisbon
283,ReadyMeds,64205-488,3800-525,43432 Mendota Parkway,Portugal,Europe/Lisbon
284,Aurobindo Pharma Limited,65862-493,,7644 Pond Place,China,Asia/Shanghai
285,KMART CORPORATION,49738-558,,843 Sycamore Alley,China,Asia/Harbin
286,King Bio Inc.,57955-8315,66-101,40 Banding Way,Poland,Europe/Warsaw
287,Bayer HealthCare Pharmaceuticals Inc.,50419-862,,4 Waxwing Court,China,Asia/Shanghai
288,"ALK-Abello, Inc.",0268-0878,LE15,155 Green Lane,United Kingdom,Europe/London
289,BluePoint Laboratories,68001-183,88-420,55 Burning Wood Lane,Poland,Europe/Warsaw
